Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status
6H,727,2024-03-12 16:50:00,2024-03-12 17:20:00,D,BUD,BUDAPEST,HUNGARY,3,DEPARTED
AA,387,2024-03-12 17:30:00,2024-03-12 17:22:00,A,FCO,ROME,ITALY,3,LANDED
AR,7874,2024-03-12 17:30:00,2024-03-12 17:22:00,A,FCO,ROME,ITALY,3,LANDED
LY,384,2024-03-12 17:30:00,2024-03-12 17:22:00,A,FCO,ROME,ITALY,3,LANDED
SK,3166,2024-03-12 17:30:00,2024-03-12 17:22:00,A,FCO,ROME,ITALY,3,LANDED
TP,8897,2024-03-12 17:30:00,2024-03-12 17:22:00,A,FCO,ROME,ITALY,3,LANDED
AM,7877,2024-03-12 17:15:00,2024-03-12 17:26:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED
LY,317,2024-03-12 17:15:00,2024-03-12 17:26:00,D,LHR,LONDON,UNITED KINGDOM,3,DEPARTED
AA,9258,2024-03-12 16:40:00,2024-03-12 17:29:00,A,CDG,PARIS,FRANCE,3,LANDED
LY,320,2024-03-12 16:40:00,2024-03-12 17:29:00,A,CDG,PARIS,FRANCE,3,LANDED
LY,83,2024-03-12 17:25:00,2024-03-12 17:35:00,D,BKK,BANGKOK,THAILAND,3,DEPARTED
QF,5018,2024-03-12 17:25:00,2024-03-12 17:35:00,D,BKK,BANGKOK,THAILAND,3,DEPARTED
TG,4586,2024-03-12 17:25:00,2024-03-12 17:35:00,D,BKK,BANGKOK,THAILAND,3,DEPARTED
W6,4428,2024-03-12 16:30:00,2024-03-12 17:41:00,D,SOF,SOFIA,BULGARIA,3,DEPARTED
LY,5109,2024-03-12 17:30:00,2024-03-12 17:45:00,D,TBS,TBILISI,GEORGIA,3,DEPARTED
AA,9266,2024-03-12 17:50:00,2024-03-12 17:49:00,A,MAD,MADRID,SPAIN,3,LANDED
AM,7859,2024-03-12 17:50:00,2024-03-12 17:49:00,A,MAD,MADRID,SPAIN,3,LANDED
AR,7872,2024-03-12 17:50:00,2024-03-12 17:49:00,A,MAD,MADRID,SPAIN,3,LANDED
IB,2395,2024-03-12 17:50:00,2024-03-12 17:49:00,A,MAD,MADRID,SPAIN,3,LANDED
LY,396,2024-03-12 17:50:00,2024-03-12 17:49:00,A,MAD,MADRID,SPAIN,3,LANDED
A3,924,2024-03-12 18:00:00,2024-03-12 17:52:00,A,ATH,ATHENS,GREECE,3,LANDED
