Airline,FlightNum,PlanTime,ActualTime,Direction,Airport,City,Country,Terminal,Status,TotalDelay
LY,842,2024-03-12 16:50:00,2024-03-12 17:20:00,A,LGG,LIEGE,BELGIUM,3,LANDED,30.0
AA,146,2024-03-12 17:30:00,2024-03-12 17:22:00,A,JFK,NEW YORK,UNITED STATES,3,LANDED,0.0
USF,RCH18,2024-03-12 17:30:00,2024-03-12 17:22:00,D,RMS,RAMSTEIN,GERMANY,3,CANCELED,0.0
AHS,N120L,2024-03-12 17:30:00,2024-03-12 17:22:00,D,TEB,TETERBORO,UNITED STATES,3,DEPARTED,0.0
LH,687,2024-03-12 17:30:00,2024-03-12 17:22:00,D,FRA,FRANKFURT,GERMANY,3,DEPARTED,0.0
AA,8379,2024-03-12 17:30:00,2024-03-12 17:22:00,A,AMS,AMSTERDAM,NETHERLANDS,3,LANDED,0.0
LY,338,2024-03-12 17:15:00,2024-03-12 17:26:00,A,AMS,AMSTERDAM,NETHERLANDS,3,LANDED,11.0
LAU,9HSIS,2024-03-12 17:15:00,2024-03-12 17:26:00,D,WAW,WARSAW,POLAND,3,DEPARTED,11.0
460,4XCMC,2024-03-12 16:40:00,2024-03-12 17:29:00,D,BCM,BACAU,ROMANIA,3,DEPARTED,49.0
6H,665,2024-03-12 16:40:00,2024-03-12 17:29:00,D,DXB,DUBAI,UNITED ARAB EMIRATES,3,CANCELED,49.0
AC,2359,2024-03-12 17:25:00,2024-03-12 17:35:00,A,SNN,SHANNON,IRELAND,3,LANDED,10.0
FR,6472,2024-03-12 17:25:00,2024-03-12 17:35:00,A,BER,BERLIN,GERMANY,3,LANDED,10.0
LY,2373,2024-03-12 17:25:00,2024-03-12 17:35:00,D,BER,BERLIN,GERMANY,3,DEPARTED,10.0
LY,691,2024-03-12 16:30:00,2024-03-12 17:41:00,D,TBS,TBILISI,GEORGIA,3,DEPARTED,71.0
OS,861,2024-03-12 17:30:00,2024-03-12 17:45:00,A,VIE,VIENNA,AUSTRIA,3,LANDED,15.0
FR,4103,2024-03-12 17:50:00,2024-03-12 17:49:00,A,PFO,PAPHOS,CYPRUS,3,LANDED,0.0
AM,7862,2024-03-12 17:50:00,2024-03-12 17:49:00,D,MAD,MADRID,SPAIN,3,DEPARTED,0.0
AR,7873,2024-03-12 17:50:00,2024-03-12 17:49:00,D,MAD,MADRID,SPAIN,3,DEPARTED,0.0
IB,2396,2024-03-12 17:50:00,2024-03-12 17:49:00,D,MAD,MADRID,SPAIN,3,DEPARTED,0.0
LY,397,2024-03-12 17:50:00,2024-03-12 17:49:00,D,MAD,MADRID,SPAIN,3,DEPARTED,0.0
FR,2006,2024-03-12 18:00:00,2024-03-12 17:52:00,D,BGY,BERGAMO,ITALY,3,DEPARTED,0.0
LH,681,2024-03-12 17:50:00,2024-03-12 17:53:00,D,MUC,MUNICH,GERMANY,3,DEPARTED,3.0
EJU,3737,2024-03-12 17:45:00,2024-03-12 18:10:00,A,CDG,PARIS,FRANCE,3,LANDED,25.0
IZ,312,2024-03-12 18:00:00,2024-03-12 18:11:00,A,DME,MOSCOW,RUSSIAN FEDERATION,3,CANCELED,11.0
QAS,9HVCK,2024-03-12 18:00:00,2024-03-12 18:13:00,A,TIA,TIRANA,ALBANIA,3,LANDED,13.0
6H,046,2024-03-12 17:50:00,2024-03-12 18:39:00,A,ETM,RAMON,ISRAEL,1,LANDED,49.0
QAS,DCFIV,2024-03-12 18:55:00,2024-03-12 18:53:00,D,KID,KRISTIANSTAD,SWEDEN,3,DEPARTED,0.0
